O=c1c2ccccc2c(=O)c2c1ccc1c2[nH]c2c3c(=O)c4ccccc4c(=O)c3c3[nH]c4c(ccc5c(=O)c6ccccc6c(=O)c54)c3c12,0
N#C/N=C/C(=O)NCC(=O)NN,1
N#C/N=C1/C=NC(=O)NC1=O,1
N#C/N=C/C(=O)NCC(N)=O,1
CCCCN(CC(O)C1=C/C(=N\C#N)C(=O)C=C1)N=O,1
N#C/N=C\C(=O)OCC(N)C(=O)O,1
CCN(CC(O)C1=CC(=O)/C(=N/C#N)C=C1)N=O,1
CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)OCC4(C)C3CCC21C,0
Nc1nc(N)nc(N)n1,0
Cc1ccc(N=Nc2c(O)ccc3ccccc23)c([N+](=O)[O-])c1,1
CC(C)CC(=O)Nc1snc2ccccc12,0
Cc1cccc([N+](=O)[O-])c1C,1
C#CC1(OC(=O)CCCCCC)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,0
CCC[N+](=O)[O-],0
O=C(O)c1cc([N+](=O)[O-])cc2cccnc12,1
OC1C=Cc2c(ccc3c(Br)c4ccccc4cc23)C1O,1
NC(=O)Nc1nc2ccccc2[nH]1,1
C[C@@H](O)CCC(=O)c1ccoc1,0
Nc1ccc2c(c1)oc1ccccc12,1
Cc1ccc2ccc3ccc(C)cc3c2c1,1
Cc1cc2c(nc(N)n2C)c2ncc(-c3ccccc3)nc12,1
CCN(N=O)/C(C=O)=N/O,1
NNc1nnc(NN)c2ccccc12,1
C=CC(=O)NCNC(=O)C=C,1
OCc1cc2c3c(cccc3c1)-c1ccccc1-2,0
Cc1ccccc1-c1ccccc1,0
Cc1cc(O)c2c(c1)C(=O)C13C4C(=O)C56C(=O)c7c(O)cc(C)cc7C(=O)C57C(C(=O)C16C2=O)C(C)C3C7C4C,0
Cc1nc(N)nc(N)n1,0
CCNc1nc(N)nc(Cl)n1,0
c1ccc2c(c1)-c1ccccc1C1C2N1C1CCCCC1,1
CCCCB(CCCC)CCCC,1
CC(=O)NC(CSC(Cl)=C(Cl)Cl)C(=O)O,1
CC(C)[C@@H]1CC[C@H](C)[C@@H]2CC[C@H](C)C[C@@H]12,1
CCN=NNCC,1
O=[N+]([O-])c1cccc(O)c1,1
O=[N+]([O-])c1ccc2c(c1)-c1cccc3cccc-2c13,1
OCc1ccco1,0
c1ccc(-c2ccc(CC[C@H]3CO3)cc2)cc1,1
Oc1cc2c3ccccc3ccc2c2ccccc12,1
Oc1ccc2ccccc2c1N=Nc1ccccc1,1
N[C@H]1CC[C@H](C[C@H]2CC[C@H](N)CC2)CC1,0
COC(=O)C12CC1(C=O)C(C=O)=CC1CC(C)(C)CC12,1
CCOC(=O)C(C)Br,1
COC1(OC2CCC3C4CCC5CC6SC6CC5(C)C4CCC23C)CCCC1,0
CCN(CCCl)CCCNc1c2c(nc3ccccc13)CCCC2,1
CC(=C\C1=CCOC1=O)/C=C(C)/C=C/C=C(\C)C(=O)C12OC1C(O)(CCO)NC2=O,1
CCO[P@](=S)(CC)Sc1ccccc1,0
Nc1ccc([N+](=O)[O-])c(N)c1,1
CCSCCSP(=O)(OC)OC,0
Cc1ccccc1C(=O)O,0
CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,1
Brc1ccccc1,0
Cc1cc(N)c(S(=O)(=O)O)cc1Cl,0
